,Ax,Ay,Az
0,-8.24,-2.75,-4.16
1,-8.24,-2.75,-4.15
2,-8.24,-2.74,-4.16
3,-8.24,-2.75,-4.15
4,-8.23,-2.74,-4.14
5,-8.23,-2.74,-4.14
6,-8.23,-2.72,-4.15
7,-8.23,-2.75,-4.16
8,-8.23,-2.75,-4.14
9,-8.24,-2.74,-4.15
10,-8.24,-2.73,-4.15
11,-8.24,-2.73,-4.14
12,-8.24,-2.74,-4.16
13,-8.23,-2.74,-4.15
14,-8.25,-2.74,-4.15
15,-8.23,-2.74,-4.14
16,-8.23,-2.73,-4.14
17,-8.23,-2.73,-4.15
18,-8.24,-2.74,-4.14
19,-8.24,-2.74,-4.15
20,-8.24,-2.74,-4.15
21,-8.24,-2.73,-4.15
22,-8.23,-2.73,-4.16
23,-8.23,-2.73,-4.15
24,-8.23,-2.74,-4.15
25,-8.23,-2.74,-4.15
26,-8.23,-2.74,-4.15
27,-8.24,-2.74,-4.16
28,-8.24,-2.72,-4.16
29,-8.23,-2.74,-4.17
30,-8.24,-2.74,-4.14
31,-8.23,-2.74,-4.16
32,-8.24,-2.74,-4.16
33,-8.24,-2.74,-4.14
34,-8.23,-2.73,-4.15
35,-8.23,-2.74,-4.15
36,-8.23,-2.76,-4.13
37,-8.24,-2.72,-4.15
38,-8.24,-2.74,-4.16
39,-8.24,-2.75,-4.15
40,-8.24,-2.73,-4.15
41,-8.24,-2.72,-4.15
42,-8.24,-2.73,-4.15
43,-8.23,-2.73,-4.17
44,-8.24,-2.74,-4.17
45,-8.23,-2.74,-4.14
46,-8.23,-2.73,-4.17
47,-8.23,-2.73,-4.15
48,-8.24,-2.73,-4.15
49,-8.25,-2.73,-4.14
50,-8.24,-2.72,-4.16
51,-8.24,-2.75,-4.16
52,-8.24,-2.74,-4.15
53,-8.23,-2.73,-4.17
54,-8.24,-2.75,-4.15
55,-8.24,-2.72,-4.17
56,-8.24,-2.75,-4.16
57,-8.24,-2.72,-4.15
58,-8.24,-2.72,-4.16
59,-8.23,-2.71,-4.15
60,-8.22,-2.73,-4.16
61,-8.24,-2.75,-4.15
62,-8.24,-2.75,-4.15
63,-8.24,-2.74,-4.18
64,-8.23,-2.75,-4.15
65,-8.24,-2.75,-4.16
66,-8.24,-2.74,-4.15
67,-8.22,-2.74,-4.18
68,-8.24,-2.73,-4.16
69,-8.24,-2.74,-4.15
70,-8.24,-2.74,-4.17
71,-8.23,-2.73,-4.16
72,-8.23,-2.74,-4.17
73,-8.24,-2.72,-4.15
74,-8.24,-2.74,-4.14
75,-8.23,-2.72,-4.16
76,-8.24,-2.74,-4.17
77,-8.23,-2.74,-4.15
78,-8.24,-2.73,-4.17
79,-8.23,-2.74,-4.14
80,-8.24,-2.74,-4.15
81,-8.24,-2.73,-4.16
82,-8.23,-2.74,-4.16
83,-8.23,-2.73,-4.16
84,-8.23,-2.74,-4.16
85,-8.23,-2.73,-4.15
86,-8.25,-2.74,-4.17
87,-8.23,-2.74,-4.15
88,-8.24,-2.73,-4.15
89,-8.24,-2.74,-4.16
90,-8.24,-2.73,-4.18
91,-8.23,-2.74,-4.16
92,-8.24,-2.74,-4.17
93,-8.23,-2.73,-4.16
94,-8.23,-2.74,-4.18
95,-8.24,-2.74,-4.16
96,-8.23,-2.73,-4.15
97,-8.23,-2.74,-4.17
98,-8.24,-2.74,-4.15
99,-8.24,-2.74,-4.17
