,x,y,z,,,,,,,,,,,,,,,,,,119.0466667,278.59,235.61
0,-3.43,-8.79,5.71,,,115.7733334,269.9533333,230.2866667,0,0,0,,0.192955556,0.449922222,0.383811111,,-3.43,-8.79,5.71,,3.43,8.79,5.71
1,-3.273333333,-9.176666667,5.323333333,,,0.156666667,0.386666667,0.386666667,0.156666667,-0.386666667,-0.386666667,,0.198411111,0.464316667,0.392683333,,0,0,0,,0,0,0
2,-2.67,-8.726666667,4.053333333,,,0.603333333,0.45,1.27,0.603333333,0.45,-1.27,,,,,,0.603333333,0.45,-1.27,,0.603333333,0.45,1.27
3,-2.586666667,-8.71,3.476666667,,,0.083333333,0.016666667,0.576666666,0.083333333,0.016666667,-0.576666666,,,,,,0.083333333,0.016666667,-0.576666666,,0.083333333,0.016666667,0.576666666
4,-2.463333333,-8.73,3.426666667,,,0.123333334,0.02,0.05,0.123333334,-0.02,-0.05,,,,,,0.123333334,-0.02,-0.05,,0.123333334,0.02,0.05
5,-2.553333333,-8.713333333,4.13,,,0.09,0.016666667,0.703333333,-0.09,0.016666667,0.703333333,,,,,,-0.09,0.016666667,0.703333333,,0.09,0.016666667,0.703333333
6,-2.42,-8.383333333,4.6,,,0.133333333,0.33,0.47,0.133333333,0.33,0.47,,,,,,0.133333333,0.33,0.47,,0.133333333,0.33,0.47
7,-2.476666667,-8.086666667,5.1,,,0.056666667,0.296666666,0.5,-0.056666667,0.296666666,0.5,,,,,,-0.056666667,0.296666666,0.5,,0.056666667,0.296666666,0.5
8,-2.696666667,-8.563333333,5.84,,,0.22,0.476666666,0.74,-0.22,-0.476666666,0.74,,,,,,-0.22,-0.476666666,0.74,,0.22,0.476666666,0.74
9,-2.656666667,-8.67,5.926666667,,,0.04,0.106666667,0.086666667,0.04,-0.106666667,0.086666667,,,,,,0.04,-0.106666667,0.086666667,,0.04,0.106666667,0.086666667
10,-2.4,-7.896666667,5.273333333,,,0.256666667,0.773333333,0.653333334,0.256666667,0.773333333,-0.653333334,,,,,,0.256666667,0.773333333,-0.653333334,,0.256666667,0.773333333,0.653333334
11,-2.696666667,-8.073333333,5.356666667,,,0.296666667,0.176666666,0.083333334,-0.296666667,-0.176666666,0.083333334,,,,,,-0.296666667,-0.176666666,0.083333334,,0.296666667,0.176666666,0.083333334
12,-2.536666667,-8.786666667,5.27,,,0.16,0.713333334,0.086666667,0.16,-0.713333334,-0.086666667,,,,,,0.16,-0.713333334,-0.086666667,,0.16,0.713333334,0.086666667
13,-2.32,-8.81,5.173333333,,,0.216666667,0.023333333,0.096666667,0.216666667,-0.023333333,-0.096666667,,,,,,0.216666667,-0.023333333,-0.096666667,,0.216666667,0.023333333,0.096666667
14,-2.253333333,-8.343333333,4.976666667,,,0.066666667,0.466666667,0.196666666,0.066666667,0.466666667,-0.196666666,,,,,,0.066666667,0.466666667,-0.196666666,,0.066666667,0.466666667,0.196666666
15,-2.383333333,-8.07,4.506666667,,,0.13,0.273333333,0.47,-0.13,0.273333333,-0.47,,,,,,-0.13,0.273333333,-0.47,,0.13,0.273333333,0.47
16,-2.616666667,-8.93,5.176666667,,,0.233333334,0.86,0.67,-0.233333334,-0.86,0.67,,,,,,-0.233333334,-0.86,0.67,,0.233333334,0.86,0.67
17,-2.39,-9.283333333,5.346666667,,,0.226666667,0.353333333,0.17,0.226666667,-0.353333333,0.17,,,,,,0.226666667,-0.353333333,0.17,,0.226666667,0.353333333,0.17
18,-1.856666667,-8.393333333,5.343333333,,,0.533333333,0.89,0.003333334,0.533333333,0.89,-0.003333334,,,,,,0.533333333,0.89,-0.003333334,,0.533333333,0.89,0.003333334
19,-2.08,-8.043333333,5.39,,,0.223333333,0.35,0.046666667,-0.223333333,0.35,0.046666667,,,,,,-0.223333333,0.35,0.046666667,,0.223333333,0.35,0.046666667
20,-1.77,-8.376666667,4.663333333,,,0.31,0.333333334,0.726666667,0.31,-0.333333334,-0.726666667,,,,,,0.31,-0.333333334,-0.726666667,,0.31,0.333333334,0.726666667
21,-2.176666667,-9.263333333,5,,,0.406666667,0.886666666,0.336666667,-0.406666667,-0.886666666,0.336666667,,,,,,-0.406666667,-0.886666666,0.336666667,,0.406666667,0.886666666,0.336666667
22,-2.073333333,-9.42,5.103333333,,,0.103333334,0.156666667,0.103333333,0.103333334,-0.156666667,0.103333333,,,,,,0.103333334,-0.156666667,0.103333333,,0.103333334,0.156666667,0.103333333
23,-2.383333333,-8.9,5.703333333,,,0.31,0.52,0.6,-0.31,0.52,0.6,,,,,,-0.31,0.52,0.6,,0.31,0.52,0.6
24,-2.57,-8.513333333,5.813333333,,,0.186666667,0.386666667,0.11,-0.186666667,0.386666667,0.11,,,,,,-0.186666667,0.386666667,0.11,,0.186666667,0.386666667,0.11
25,-2.653333333,-8.533333333,5.656666667,,,0.083333333,0.02,0.156666666,-0.083333333,-0.02,-0.156666666,,,,,,-0.083333333,-0.02,-0.156666666,,0.083333333,0.02,0.156666666
26,-2.536666667,-8.55,5.46,,,0.116666666,0.016666667,0.196666667,0.116666666,-0.016666667,-0.196666667,,,,,,0.116666666,-0.016666667,-0.196666667,,0.116666666,0.016666667,0.196666667
27,-2.066666667,-8.33,5.286666667,,,0.47,0.22,0.173333333,0.47,0.22,-0.173333333,,,,,,0.47,0.22,-0.173333333,,0.47,0.22,0.173333333
28,-2.06,-8.62,5.316666667,,,0.006666667,0.29,0.03,0.006666667,-0.29,0.03,,,,,,0.006666667,-0.29,0.03,,0.006666667,0.29,0.03
29,-1.546666667,-8.313333333,4.736666667,,,0.513333333,0.306666667,0.58,0.513333333,0.306666667,-0.58,,,,,,0.513333333,0.306666667,-0.58,,0.513333333,0.306666667,0.58
30,-1.316666667,-8.363333333,5.276666667,,,0.23,0.05,0.54,0.23,-0.05,0.54,,,,,,0.23,-0.05,0.54,,0.23,0.05,0.54
31,-0.526666667,-8.22,4.783333333,,,0.79,0.143333333,0.493333334,0.79,0.143333333,-0.493333334,,,,,,0.79,0.143333333,-0.493333334,,0.79,0.143333333,0.493333334
32,-0.526666667,-9.016666667,5.386666667,,,0,0.796666667,0.603333334,0,-0.796666667,0.603333334,,,,,,0,-0.796666667,0.603333334,,0,0.796666667,0.603333334
33,-0.176666667,-9.653333333,5.393333333,,,0.35,0.636666666,0.006666666,0.35,-0.636666666,0.006666666,,,,,,0.35,-0.636666666,0.006666666,,0.35,0.636666666,0.006666666
34,0.18,-8.796666667,5.143333333,,,0.356666667,0.856666666,0.25,0.356666667,0.856666666,-0.25,,,,,,0.356666667,0.856666666,-0.25,,0.356666667,0.856666666,0.25
35,0.083333333,-8.3,5.44,,,0.096666667,0.496666667,0.296666667,-0.096666667,0.496666667,0.296666667,,,,,,-0.096666667,0.496666667,0.296666667,,0.096666667,0.496666667,0.296666667
36,0.146666667,-8.193333333,5.253333333,,,0.063333334,0.106666667,0.186666667,0.063333334,0.106666667,-0.186666667,,,,,,0.063333334,0.106666667,-0.186666667,,0.063333334,0.106666667,0.186666667
37,0.106666667,-9.003333333,5.923333333,,,0.04,0.81,0.67,-0.04,-0.81,0.67,,,,,,-0.04,-0.81,0.67,,0.04,0.81,0.67
38,0.813333333,-9.026666667,5.963333333,,,0.706666666,0.023333334,0.04,0.706666666,-0.023333334,0.04,,,,,,0.706666666,-0.023333334,0.04,,0.706666666,0.023333334,0.04
