,Ax,Ay,Az
0,9.31,0.60,-3.58
1,9.32,0.61,-3.58
2,9.31,0.60,-3.57
3,9.31,0.60,-3.57
4,9.32,0.60,-3.58
5,9.31,0.60,-3.57
6,9.31,0.61,-3.58
7,9.30,0.59,-3.58
8,9.32,0.61,-3.57
9,9.32,0.60,-3.58
10,9.32,0.60,-3.58
11,9.31,0.60,-3.58
12,9.30,0.60,-3.58
13,9.31,0.60,-3.57
14,9.31,0.60,-3.56
15,9.32,0.60,-3.56
16,9.32,0.61,-3.58
17,9.31,0.61,-3.57
18,9.32,0.61,-3.58
19,9.31,0.60,-3.59
20,9.31,0.60,-3.58
21,9.32,0.60,-3.57
22,9.33,0.59,-3.59
23,9.31,0.60,-3.58
24,9.30,0.60,-3.58
25,9.31,0.60,-3.57
26,9.31,0.60,-3.58
27,9.32,0.60,-3.58
28,9.32,0.61,-3.57
29,9.32,0.60,-3.58
30,9.31,0.59,-3.57
31,9.31,0.60,-3.58
32,9.32,0.60,-3.58
33,9.32,0.60,-3.56
34,9.32,0.60,-3.59
35,9.31,0.60,-3.57
36,9.32,0.61,-3.56
37,9.32,0.61,-3.56
38,9.32,0.60,-3.58
39,9.31,0.60,-3.57
40,9.31,0.61,-3.57
41,9.32,0.60,-3.57
42,9.32,0.61,-3.58
43,9.31,0.61,-3.57
44,9.31,0.62,-3.57
45,9.31,0.62,-3.57
46,9.31,0.61,-3.57
47,9.31,0.60,-3.59
48,9.32,0.61,-3.57
49,9.31,0.61,-3.57
50,9.31,0.60,-3.57
51,9.32,0.61,-3.57
52,9.31,0.61,-3.58
53,9.32,0.60,-3.58
54,9.33,0.62,-3.57
55,9.31,0.61,-3.56
56,9.31,0.61,-3.59
57,9.31,0.60,-3.57
58,9.31,0.61,-3.57
59,9.31,0.61,-3.58
60,9.31,0.61,-3.57
61,9.31,0.59,-3.57
62,9.32,0.61,-3.58
63,9.31,0.60,-3.57
64,9.31,0.60,-3.58
65,9.31,0.60,-3.56
66,9.32,0.61,-3.57
67,9.31,0.61,-3.58
68,9.31,0.60,-3.59
69,9.31,0.60,-3.58
70,9.32,0.60,-3.57
71,9.30,0.60,-3.58
72,9.30,0.61,-3.58
73,9.31,0.60,-3.57
74,9.32,0.61,-3.58
75,9.31,0.60,-3.57
76,9.32,0.61,-3.58
77,9.32,0.60,-3.57
78,9.31,0.60,-3.56
79,9.33,0.62,-3.58
80,9.32,0.61,-3.58
81,9.31,0.60,-3.57
82,9.31,0.61,-3.58
83,9.31,0.60,-3.57
84,9.33,0.60,-3.56
85,9.31,0.61,-3.56
86,9.31,0.60,-3.56
87,9.31,0.61,-3.57
88,9.32,0.61,-3.57
89,9.32,0.59,-3.57
90,9.31,0.60,-3.58
91,9.31,0.60,-3.57
92,9.32,0.60,-3.59
93,9.31,0.60,-3.57
94,9.32,0.60,-3.59
95,9.32,0.60,-3.56
96,9.31,0.60,-3.57
97,9.32,0.60,-3.58
98,9.31,0.60,-3.57
99,9.30,0.60,-3.56
100,9.31,0.60,-3.57
101,9.31,0.61,-3.57
102,9.31,0.60,-3.59
103,9.32,0.60,-3.57
104,9.32,0.60,-3.58
105,9.32,0.61,-3.58
106,9.32,0.60,-3.56
107,9.32,0.61,-3.58
108,9.32,0.59,-3.58
109,9.32,0.61,-3.58
110,9.32,0.60,-3.58
111,9.32,0.60,-3.57
112,9.31,0.60,-3.56
113,9.31,0.61,-3.57
114,9.31,0.60,-3.57
115,9.31,0.60,-3.58
116,9.31,0.61,-3.56
117,9.32,0.61,-3.57
118,9.31,0.60,-3.56
119,9.32,0.61,-3.58
120,9.32,0.60,-3.58
121,9.32,0.59,-3.58
122,9.31,0.61,-3.57
123,9.32,0.60,-3.57
124,9.32,0.60,-3.58
125,9.32,0.60,-3.58
126,9.31,0.60,-3.58
127,9.31,0.60,-3.58
128,9.31,0.62,-3.57
129,9.31,0.60,-3.56
130,9.32,0.60,-3.58
131,9.31,0.61,-3.57
132,9.31,0.59,-3.59
133,9.31,0.60,-3.57
134,9.31,0.62,-3.58
135,9.32,0.60,-3.56
136,9.32,0.61,-3.57
137,9.31,0.60,-3.57
138,9.32,0.60,-3.58
139,9.31,0.60,-3.57
140,9.32,0.62,-3.58
141,9.31,0.60,-3.58
142,9.31,0.60,-3.58
143,9.32,0.60,-3.57
144,9.32,0.59,-3.58
145,9.31,0.60,-3.58
146,9.31,0.60,-3.57
147,9.32,0.61,-3.57
148,9.32,0.60,-3.57
149,9.33,0.60,-3.56
150,9.32,0.59,-3.57
151,9.32,0.60,-3.57
152,9.31,0.60,-3.58
153,9.31,0.61,-3.57
154,9.31,0.61,-3.58
155,9.32,0.60,-3.57
156,9.31,0.61,-3.57
157,9.31,0.59,-3.57
158,9.33,0.60,-3.57
159,9.32,0.60,-3.58
160,9.32,0.61,-3.58
161,9.32,0.61,-3.59
162,9.31,0.61,-3.57
163,9.31,0.60,-3.56
164,9.32,0.61,-3.57
165,9.31,0.62,-3.57
166,9.31,0.61,-3.56
167,9.32,0.61,-3.57
168,9.32,0.61,-3.58
169,9.31,0.61,-3.57
170,9.32,0.60,-3.59
171,9.32,0.60,-3.58
172,9.32,0.60,-3.58
173,9.31,0.61,-3.57
174,9.31,0.60,-3.58
175,9.31,0.61,-3.56
176,9.32,0.60,-3.57
177,9.31,0.61,-3.58
178,9.32,0.60,-3.58
179,9.32,0.61,-3.57
180,9.31,0.60,-3.58
181,9.32,0.60,-3.58
182,9.32,0.60,-3.58
183,9.31,0.60,-3.58
184,9.32,0.60,-3.58
185,9.31,0.60,-3.57
186,9.30,0.62,-3.57
187,9.32,0.60,-3.57
188,9.30,0.61,-3.58
189,9.32,0.59,-3.58
190,9.33,0.60,-3.59
191,9.32,0.60,-3.57
192,9.31,0.60,-3.59
193,9.32,0.61,-3.57
194,9.32,0.61,-3.56
195,9.31,0.60,-3.58
196,9.32,0.60,-3.57
197,9.31,0.61,-3.57
198,9.30,0.60,-3.57
199,9.33,0.60,-3.57
