x,y,z
-3.43,-8.79,5.71
-3.273333333,-9.176666667,5.323333333
-2.67,-8.726666667,4.053333333
-2.586666667,-8.71,3.476666667
-2.463333333,-8.73,3.426666667
-2.553333333,-8.713333333,4.13
-2.42,-8.383333333,4.6
-2.476666667,-8.086666667,5.1
-2.696666667,-8.563333333,5.84
-2.656666667,-8.67,5.926666667
-2.4,-7.896666667,5.273333333
-2.696666667,-8.073333333,5.356666667
-2.536666667,-8.786666667,5.27
-2.32,-8.81,5.173333333
-2.253333333,-8.343333333,4.976666667
-2.383333333,-8.07,4.506666667
-2.616666667,-8.93,5.176666667
-2.39,-9.283333333,5.346666667
-1.856666667,-8.393333333,5.343333333
-2.08,-8.043333333,5.39
-1.77,-8.376666667,4.663333333
-2.176666667,-9.263333333,5.0
-2.073333333,-9.42,5.103333333
-2.383333333,-8.9,5.703333333
-2.57,-8.513333333,5.813333333
-2.653333333,-8.533333333,5.656666667
-2.536666667,-8.55,5.46
-2.066666667,-8.33,5.286666667
-2.06,-8.62,5.316666667
-1.546666667,-8.313333333,4.736666667
-1.316666667,-8.363333333,5.276666667
-0.526666667,-8.22,4.783333333
-0.526666667,-9.016666667,5.386666667
-0.176666667,-9.653333333,5.393333333
0.18,-8.796666667,5.143333333
0.083333333,-8.3,5.44
0.146666667,-8.193333333,5.253333333
0.106666667,-9.003333333,5.923333333
0.813333333,-9.026666667,5.963333333
1.043333333,-8.03,5.306666667
0.886666667,-7.913333333,5.716666667
0.743333333,-8.446666667,5.533333333
0.793333333,-9.073333333,5.85
0.863333333,-8.703333333,6.183333333
1.246666667,-7.626666667,5.313333333
1.013333333,-7.83,5.88
1.976666667,-8.826666667,5.233333333
2.2,-10.52333333,6.823333333
2.37,-10.76333333,7.393333333
1.983333333,-9.076666667,6.72
1.366666667,-7.76,6.4
1.613333333,-7.63,5.433333333
1.533333333,-8.04,6.0
1.32,-7.896666667,5.926666667
1.476666667,-7.543333333,5.67
1.283333333,-8.183333333,6.5
1.91,-8.673333333,6.516666667
1.716666667,-8.04,6.37
1.483333333,-7.606666667,6.216666667
1.436666667,-7.616666667,5.77
1.393333333,-8.603333333,6.66
1.706666667,-8.96,6.516666667
1.61,-8.076666667,6.18
1.303333333,-7.62,6.376666667
1.306666667,-7.623333333,5.966666667
1.456666667,-8.456666667,6.906666667
1.48,-8.78,6.786666667
1.403333333,-7.803333333,6.123333333
0.993333333,-7.3,6.82
1.366666667,-7.543333333,6.856666667
1.633333333,-8.136666667,7.403333333
1.966666667,-7.833333333,6.783333333
2.196666667,-6.87,6.233333333
2.086666667,-7.006666667,7.066666667
2.21,-7.84,6.883333333
2.266666667,-7.683333333,6.56
2.266666667,-7.3,6.256666667
2.31,-7.146666667,5.94
2.073333333,-8.063333333,6.673333333
2.216666667,-8.743333333,6.856666667
2.166666667,-8.06,6.163333333
2.076666667,-7.51,6.28
2.016666667,-7.756666667,5.663333333
1.886666667,-8.286666667,6.303333333
2.203333333,-8.653333333,6.376666667
2.203333333,-7.643333333,5.796666667
2.286666667,-7.463333333,6.243333333
2.32,-8.036666667,5.953333333
2.593333333,-8.466666667,6.423333333
2.776666667,-8.61,6.553333333
2.483333333,-7.413333333,5.823333333
2.61,-6.903333333,7.003333333
2.79,-7.57,6.58
3.296666667,-8.153333333,7.456666667
3.146666667,-8.246666667,6.763333333
2.993333333,-7.523333333,6.203333333
2.603333333,-7.44,6.406666667
2.533333333,-8.436666667,6.64
2.583333333,-8.173333333,6.65
2.673333333,-7.646666667,6.426666667
2.763333333,-6.933333333,5.15
2.776666667,-7.303333333,6.24
2.906666667,-8.353333333,6.343333333
3.06,-8.476666667,7.113333333
2.663333333,-7.983333333,6.88
2.493333333,-6.886666667,5.95
2.0,-6.86,6.556666667
2.47,-7.826666667,6.513333333
2.58,-8.756666667,6.88
2.856666667,-8.43,6.726666667
2.806666667,-7.253333333,5.63
2.693333333,-6.67,6.41
2.686666667,-7.776666667,5.776666667
3.046666667,-8.64,7.073333333
3.14,-8.806666667,7.316666667
3.31,-7.813333333,6.846666667
2.773333333,-6.97,6.723333333
2.9,-6.946666667,5.423333333
2.68,-7.276666667,6.93
3.136666667,-8.306666667,7.056666667
3.406666667,-9.27,7.746666667
3.48,-8.93,7.406666667
3.313333333,-8.093333333,6.06
3.013333333,-6.453333333,6.536666667
3.206666667,-6.656666667,5.88
3.23,-7.113333333,7.006666667
3.413333333,-8.53,7.053333333
3.446666667,-8.356666667,7.003333333
3.176666667,-7.68,7.09
3.386666667,-7.446666667,6.57
3.35,-7.253333333,7.14
3.673333333,-7.51,6.076666667
3.286666667,-7.263333333,6.45
2.73,-7.79,6.613333333
2.63,-8.97,7.36
2.456666667,-8.983333333,6.62
2.81,-8.57,6.866666667
2.813333333,-7.11,5.993333333
2.836666667,-6.31,6.96
3.046666667,-6.743333333,5.643333333
3.223333333,-7.29,7.173333333
3.463333333,-8.536666667,6.633333333
3.36,-8.69,6.786666667
3.4,-8.793333333,6.446666667
